"No new messages","No new messages"
"Reply","Reply"
"Title","Überschrift"
"Message","Nachricht"
"Back","Back"
"Post","Senden"
"RE:","RE:"
"New Message to Admin","Neue Nachricht Admin"
"Select Member","wählen Mitglied"
